liquidity,sqrtPrice,token0Price,token1Price,volumeToken0,volumeToken1,volumeUSD,periodStartUnix
7402304091767290151,3918730655713957165166351,0.0004087599513555502143037019533025361,2446.423620229305579767603113283309,0,0,0,1622444400
7998444014303438919,3953476835563092447887871,0.0004016065344367754852896743155943285,2489.999325838730841181549238727767,0,0,0,1622448000
8666410100801185248,3957419104931498230617641,0.000400806794754520897956704662047126,2494.967682901839092887097095455064,0,0,0,1622451600
8120480150936507544,4001847794007286076501785,0.0003919566472475728933036408047573775,2551.30256629725338468053870557408,0,0,0,1622455200
8099248649851404523,4009368858175831237330511,0.0003904875052313573462102488766673328,2560.90140299755980027166676407949,0,0,0,1622458800
8120447382332845426,3987402898184438201282522,0.0003948016209525479087460167074632253,2532.917665300549108415813639732016,0,0,0,1622462400
7926664696911999979,3993026591546460413719069,0.0003936903437132852805168433370096151,2540.067380286763412229475433583245,0,0,0,1622466000
8538165314295800021,3996333459155924742579965,0.0003930390751334798221134262029110348,2544.276290240074611847045754383153,0,0,0,1622469600
9455948634304534128,4063845657996708060381588,0.0003800885235996204803780133880068944,2630.966045829326121856031638243131,0,0,0,1622473200
9847108625255100268,4067937797655091787890305,0.0003793242085663053513268754945806459,2636.267281172489078640788223557379,0,0,0,1622476800
8036735245808572242,4046129505655140144503109,0.0003834242784681930277280669961565607,2608.076890683788635844165796956735,0,0,0,1622480400
8485964063484833354,4028118505538482153232088,0.0003868607681603986537575919293393708,2584.909306661418888373912483250686,0,0,0,1622484000
8342363388054572238,4050530418904059931227752,0.0003825915478769449875915533135528354,2613.753506968835260920795526224506,0,0,0,1622487600
8344036756368381514,4043859237776190107445063,0.0003838549166876055866473756375181772,2605.150947731209085987882333965479,0,0,0,1622491200
8342143654445610475,4057588740425654724571021,0.0003812616420829332009976735533434632,2622.870726089137849546206265455141,0,0,0,1622494800
8206487398589807946,4084388226709484976215637,0.0003762748022322084319907053897976393,2657.632119046003545111670367794079,0,0,0,1622498400
8218350310279343942,4122340727246120374772829,0.0003693783163537008710967772741614624,2707.251497249347975111920475178889,0,0,0,1622502000
7882465846829968241,4137326510932885938792546,0.0003667073167978853384075550124473181,2726.970404441536410538309420346268,0,0,0,1622505600
8429527908061566002,4093463389849588734239646,0.0003746082574735965449606464310453298,2669.455304440220042694470619036154,0,0,0,1622509200
10298064896234779910,4069832751759148570866378,0.0003789710566463143234459385122736131,2638.723940686791978948427287474649,0,0,0,1622512800
10308487106586969789,4062804100519217752450080,0.0003802834307520764497776629698235861,2629.617593441624674657901867237128,0,0,0,1622516400
8481735915040076099,4076858436037482384185243,0.0003776660141213494412314308510930607,2647.842174325714761499713855116073,0,0,0,1622520000
8295123972952439142,4117843566511536936165981,0.000370185564477378581322340592551836,2701.347907533299619008590330731785,0,0,0,1622523600
9579435809766214801,4079856422617987275326471,0.0003771111800654905578684544342060785,2651.737876947419610094302991587261,0,0,0,1622527200
9597354111920234854,4074670915174637322706903,0.0003780716292326715786795580225019861,2645.001430098272043706687145162572,0,0,0,1622530800
7534084752833389079,4017416752589086765891114,0.0003889245832371925029923994093263967,2571.192573317311746939376150992596,0,0,0,1622534400
7739417712729987448,4017673310016310205904478,0.0003888749135418857697853358667937523,2571.52098316645427965085062551903,0,0,0,1622538000
8570884646604459740,4041126083666792713667109,0.000384374321132976092426138678966249,2601.630611151168257654991973484296,0,0,0,1622541600
8594930637675261380,4057986847040920486324980,0.0003811868388160438953150213129825824,2623.385432471837689141301806828584,0,0,0,1622545200
8435501750527180576,4013285453831896169872329,0.0003897257177050282543492320027749322,2565.907135635503805720531097335879,0,0,0,1622548800
9875899461886987708,4063168126650874474338203,0.0003802152933279352520732523441689864,2630.088840580910439836124991368157,0,0,0,1622552400
8086581963941502540,4034036153942429298076777,0.0003857266053546145844288000106081895,2592.509788327041166332848666514802,0,0,0,1622556000
8076002315753954279,4012415172986016945315957,0.0003898947967236292138408488379072044,2564.794422503756188580195900025992,0,0,0,1622559600
8138767300295828410,3997913618065936510571395,0.0003927284423788276402147708238986821,2546.288712737020089948891997930797,0,0,0,1622563200
8402571952593088775,4002312255488243130038219,0.0003918656807312156062169920489159375,2551.894817974400523344754620168624,0,0,0,1622566800
8114047899627742801,4016042942954048720169396,0.0003891907157141378441604288036407885,2569.434366297946447515498875468073,0,0,0,1622570400
